Reburn_ID,Polygon_ID,Reburn_Order,Reburn_Interval,Fire_ID,Year,Ecoregion,N_Rockies,FRG_max4,class,patch_area_mean,patch_area_AW_mean,patch_PARA_mean,patch_PARA_AW_mean,class_total_core_ha,largest_patch_ind,class_area_ha,reburn_area_ha,class_prop
ID4495511537120060806_ID4475011554820070717,1,Both,1,NA,NA,Idaho Batholith,Northern Rockies,High,2,5.7411627906976745,32.356591323368576,522.3923634443432,186.89998784785513,18.04952950632578,0.04789168346399993,246.87,1544.7358424059282,0.15981373204592678
ID4495511537120060806_ID4475011554820070717,1,Either,1,NA,NA,Idaho Batholith,Northern Rockies,High,2,11.88219512195122,100.80118049140957,550.2815702366064,124.8845372251986,82.92216441898667,0.10918371631573708,487.17,1544.7358424059282,0.3153743097209631
ID4495511537120060806_ID4475011554820070717,1,Fire_1,1,ID4495511537120060806,2006,Idaho Batholith,Northern Rockies,High,2,5.747441860465116,32.32212672978878,514.6404254598472,186.93857732459333,18.04952950632578,0.04789168346399993,247.14000000000001,1544.7358424059282,0.1599885192118538
ID4495511537120060806_ID4475011554820070717,1,Fire_2,1,ID4475011554820070717,2007,Idaho Batholith,Northern Rockies,High,2,12.484615384615385,100.92117560073937,528.2279823445197,124.8305606900801,82.92216441898667,0.1092419787043794,486.9,1544.7358424059282,0.315199522555036
CA3966212292720060724_CA3966012280920200817,1,Both,14,NA,NA,Klamath Mountains,Pacific Northwest,Low,2,4.991186440677966,70.92415342298287,540.654187222919,197.6365118174409,39.257922749260565,0.028288021525995587,588.96,6674.910079041116,0.08823489650434468
CA3966212292720060724_CA3966012280920200817,1,Either,14,NA,NA,Klamath Mountains,Pacific Northwest,Low,2,11.635147058823529,792.7336946877487,618.9839696124255,122.47374208470784,431.7446937327006,0.2019263157165443,2373.57,6674.910079041116,0.35559580157534876
CA3966212292720060724_CA3966012280920200817,1,Fire_1,14,CA3966212292720060724,2006,Klamath Mountains,Pacific Northwest,Low,2,5.47425,68.83979038224415,523.7798343079081,188.88432205324932,48.62299034883266,0.02840937147534447,656.91,6674.910079041116,0.09841480892194557
CA3966212292720060724_CA3966012280920200817,1,Fire_2,14,CA3966012280920200817,2020,Klamath Mountains,Pacific Northwest,Low,2,11.946217616580311,906.2789140448124,607.4706100752139,122.83030161084655,416.3985895849692,0.2138455774081459,2305.62,6674.910079041116,0.34541588915774785
CA4095112320220060902_CA4119412345820200727,1,Both,14,NA,NA,Klamath Mountains,Pacific Northwest,Low,2,4.9714285714285715,49.43777586206897,543.0054421485679,185.632183908046,22.087631187280437,0.026055162136440328,313.2,4003.4293186805285,0.0782329285891392
CA4095112320220060902_CA4119412345820200727,1,Either,14,NA,NA,Klamath Mountains,Pacific Northwest,Low,2,9.76719512195122,135.03482076637823,547.1085609805693,130.501554481777,167.78183911493903,0.06795923653016317,800.91,4003.4293186805285,0.20005598606745684
