Reburn_ID,Polygon_ID,Reburn_Order,Reburn_Interval_1,Reburn_Interval_2,Fire_ID,Year,Ecoregion,N_Rockies,FRG_max4,class,patch_area_mean,patch_area_AW_mean,patch_PARA_mean,patch_PARA_AW_mean,class_total_core_ha,largest_patch_ind,class_area_ha,reburn_area_ha,class_prop
CA4104812343519990823_CA4107312329420080621_CA4119412345820200727,1,Any,9,12,NA,NA,Klamath Mountains,Pacific Northwest,Low,2,8.985405405405405,79.6246616134272,706.2611918685324,159.17704385489984,16.549209453386343,0.13017958187911913,332.46,1049.473335433365,0.3167874673659197
CA4104812343519990823_CA4107312329420080621_CA4119412345820200727,1,Fire_a,9,12,CA4104812343519990823,1999,Klamath Mountains,Pacific Northwest,Low,2,5.7456,29.945977443609028,660.156969089953,193.81787802840438,3.9237591860768384,0.05111135098811265,143.64,1049.473335433365,0.13686865130373788
CA4104812343519990823_CA4107312329420080621_CA4119412345820200727,1,Fire_b,9,12,CA4107312329420080621,2008,Klamath Mountains,Pacific Northwest,Low,2,4.965428571428571,21.342584153288453,542.47662998308,218.53961677887105,3.276199669008609,0.035160493129406355,173.79,1049.473335433365,0.16559734690947236
CA4104812343519990823_CA4107312329420080621_CA4119412345820200727,1,Fire_c,9,12,CA4119412345820200727,2020,Klamath Mountains,Pacific Northwest,Low,2,5.329090909090909,26.70982599795292,606.0212249130072,205.39065165472536,6.6187870873567185,0.039791387346450116,175.85999999999999,1049.473335433365,0.16756976481673172
CA4104812343519990823_CA4107012343620090702_CA4119412345820200727,1,All,10,11,NA,NA,Klamath Mountains,Pacific Northwest,Low,2,3.1114285714285717,49.77409090909091,803.8533856192779,258.49403122130394,8.464123889150564,0.05279305365524853,261.36,1854.7894698314176,0.1409108711533472
CA4104812343519990823_CA4107012343620090702_CA4119412345820200727,1,Any,10,11,NA,NA,Klamath Mountains,Pacific Northwest,Low,2,48.186,928.7536384011954,781.7097242633802,86.37363549578716,401.8529416996293,0.611875373706511,1445.5800000000002,1854.7894698314176,0.7793768637965092
CA4104812343519990823_CA4107012343620090702_CA4119412345820200727,1,Fire_a,10,11,CA4104812343519990823,1999,Klamath Mountains,Pacific Northwest,Low,2,13.358823529411765,239.04316248348746,571.9046357512726,129.81065609863498,117.05171388338333,0.2108325534301975,681.3,1854.7894698314176,0.3673193163329332
CA4104812343519990823_CA4107012343620090702_CA4119412345820200727,1,Fire_b,10,11,CA4107012343620090702,2009,Klamath Mountains,Pacific Northwest,Low,2,13.81235294117647,281.68172863165967,586.4929330162278,147.77905540649888,61.35200152683973,0.23116370185073895,704.43,1854.7894698314176,0.3797897343378954
CA4104812343519990823_CA4107012343620090702_CA4119412345820200727,1,Fire_c,10,11,CA4119412345820200727,2020,Klamath Mountains,Pacific Northwest,Low,2,21.950625,667.4628094302554,565.3823786961548,132.62720309786167,137.15079576227177,0.44971141661474573,1053.63,1854.7894698314176,0.5680590800937451
CA4104812343519990823_CA4103512348820130810_CA4119412345820200727,1,All,14,7,NA,NA,Klamath Mountains,Pacific Northwest,Low,2,8.025652173913043,108.9065675280351,691.1009193678907,175.84917926214854,17.75146380140476,0.05697631516889121,553.77,3574.643242481971,0.15491615874246029
CA4104812343519990823_CA4103512348820130810_CA4119412345820200727,1,Any,14,7,NA,NA,Klamath Mountains,Pacific Northwest,Low,2,19.10938775510204,501.10559688581316,613.6051852165518,107.26643598615917,414.96232309239167,0.21717971482406348,1872.72,3574.643242481971,0.5238900424367161
CA4104812343519990823_CA4103512348820130810_CA4119412345820200727,1,Fire_a,14,7,CA4104812343519990823,1999,Klamath Mountains,Pacific Northwest,Low,2,12.78109756097561,245.04750966079865,541.3255638400266,123.1429798196651,251.74693069750677,0.13278527892210884,1048.05,3574.643242481971,0.2931900972787177
CA4104812343519990823_CA4103512348820130810_CA4119412345820200727,1,Fire_b,14,7,CA4103512348820130810,2013,Klamath Mountains,Pacific Northwest,Low,2,18.176538461538463,395.1563835459912,549.7384802146591,124.20914534797605,169.05257284195525,0.19001336746779585,1417.77,3574.643242481971,0.3966186004664354
CA4104812343519990823_CA4103512348820130810_CA4119412345820200727,1,Fire_c,14,7,CA4119412345820200727,2020,Klamath Mountains,Pacific Northwest,Low,2,11.569285714285714,145.5414521207631,606.5731139717634,150.64518120639624,75.97109295724846,0.07014406277531195,971.82,3574.643242481971,0.27186489226411287
