Reburn_ID,Polygon_ID,Reburn_Order,Reburn_Interval,Fire_ID,Year,Ecoregion,N_Rockies,FRG_max4,class,patch_area_mean,patch_area_AW_mean,patch_PARA_mean,patch_PARA_AW_mean,class_total_core_ha,largest_patch_ind,class_area_ha,reburn_area_ha,class_prop
OR4427112168020060723_OR4425712174320170811,1,Either,11,NA,NA,Eastern Cascades Slopes and Foothills,Pacific Northwest,Mixed,2,33.553636363636365,927.3220263350403,750.7216121142858,91.08889430762144,303.97605535294946,0.5665898471253451,1107.27,1784.9419736888901,0.6203394935643962
OR4427112168020060723_OR4425712174320170811,1,Fire_1,11,OR4427112168020060723,2006,Eastern Cascades Slopes and Foothills,Pacific Northwest,Mixed,2,21.15264705882353,236.63329120260298,616.9612000895894,108.45534559713012,149.8040651417015,0.18494718868521542,719.1899999999999,1784.9419736888901,0.4029206610642193
OR4427112168020060723_OR4425712174320170811,1,Fire_2,11,OR4425712174320170811,2017,Eastern Cascades Slopes and Foothills,Pacific Northwest,Mixed,2,18.1935,313.4118550581251,656.492144516213,137.02696017808557,110.67239783164004,0.25810923088321097,727.74,1784.9419736888901,0.4077107327449978
OR4431412180120060805_OR4435412173920070830,1,Both,1,NA,NA,Cascades,Pacific Northwest,Mixed,2,55.01571428571428,1071.5404101425568,648.4132203330602,71.43413570148789,498.3471485017974,0.5517910490664191,1540.4399999999998,2294.0749077784144,0.671486355906209
OR4431412180120060805_OR4435412173920070830,1,Either,1,NA,NA,Cascades,Pacific Northwest,Mixed,2,107.47058823529412,1756.095224630542,687.086717765002,45.48440065681445,1000.4084050057043,0.7807460837163744,1827,2294.0749077784144,0.7963994522608111
OR4431412180120060805_OR4435412173920070830,1,Fire_1,1,OR4431412180120060805,2006,Cascades,Pacific Northwest,Mixed,2,98.30117647058823,1578.405555794916,621.1770268591599,56.87203791469193,701.915914905554,0.7078931880095604,1671.1200000000001,2294.0749077784144,0.7284504940679183
OR4431412180120060805_OR4435412173920070830,1,Fire_2,1,OR4435412173920070830,2007,Cascades,Pacific Northwest,Mixed,2,89.28,1639.4859645585736,672.4758582789208,58.255517826825134,741.2622245186335,0.7269204655635748,1696.32,2294.0749077784144,0.7394353140991018
WA4811112069920060706_WA4822612066620150629,1,Both,9,NA,NA,North Cascades,Pacific Northwest,Mixed,2,3.98125,67.06412872841446,805.9553450363259,243.32810047095762,1.4912245462734717,0.0484996857982621,573.3,2850.32774387486,0.20113476467117808
WA4811112069920060706_WA4822612066620150629,1,Either,9,NA,NA,North Cascades,Pacific Northwest,Mixed,2,28.367260273972605,1163.0673401712372,745.1300350019956,92.83323916728237,553.2149308332913,0.533875447576182,2070.81,2850.32774387486,0.7265164521694093
WA4811112069920060706_WA4822612066620150629,1,Fire_1,9,WA4811112069920060706,2006,North Cascades,Pacific Northwest,Mixed,2,20.122297297297298,336.06529283771533,575.5549306438633,117.65891004331621,325.2049389333334,0.21423852092526585,1489.05,2850.32774387486,0.5224136077683896
WA4811112069920060706_WA4822612066620150629,1,Fire_2,9,WA4822612066620150629,2015,North Cascades,Pacific Northwest,Mixed,2,13.588941176470588,147.37826086956522,607.4147687490921,146.3820061295517,74.60173484383873,0.07682274449685657,1155.06,2850.32774387486,0.40523760907219775
WA4897812059620060822_WA4885512041420170723,1,Both,11,NA,NA,North Cascades,Pacific Northwest,Low,2,2.889692307692308,17.716372783900336,716.0929387047273,283.0218814885801,0.29013056946672733,0.03720922225808642,187.82999999999998,1252.9151960403688,0.14991437616337133
WA4897812059620060822_WA4885512041420170723,1,Either,11,NA,NA,North Cascades,Pacific Northwest,Low,2,25.73076923076923,399.6146905829597,770.5313991068169,102.78026905829597,197.5305435821633,0.4281933858696007,1003.5,1252.9151960403688,0.8009321007290803
WA4897812059620060822_WA4885512041420170723,1,Fire_1,11,WA4897812059620060822,2006,North Cascades,Pacific Northwest,Low,2,21.110294117647058,207.68981191222574,520.8649090822693,138.93416927899688,89.85949165020399,0.25852507897075877,717.75,1252.9151960403688,0.5728639913286471
WA4897812059620060822_WA4885512041420170723,1,Fire_2,11,WA4885512041420170723,2017,North Cascades,Pacific Northwest,Low,2,13.928823529411764,167.6163968072976,617.0359175758186,128.21487393893324,68.50751155828125,0.21240862976286012,473.58,1252.9151960403688,0.37798248556380454
OR4468212159620070712_OR4472312167920200817,1,Both,13,NA,NA,Cascades,Pacific Northwest,Mixed,2,4.78327868852459,118.41151758173967,728.9376241134602,190.52025498663377,61.256081593852024,0.08874339128813731,583.56,2813.2799116205633,0.20743047913204118
OR4468212159620070712_OR4472312167920200817,1,Either,13,NA,NA,Cascades,Pacific Northwest,Mixed,2,35.35811320754717,1389.255499951974,772.1931994071278,88.17596772644319,498.30018237768036,0.5703058530979178,1873.98,2813.2799116205633,0.666119283850611
OR4468212159620070712_OR4472312167920200817,1,Fire_1,13,OR4468212159620070712,2007,Cascades,Pacific Northwest,Mixed,2,28.812115384615385,391.32474139484583,564.0515163657427,92.18878276366112,387.056130769325,0.22182648709154437,1498.23,2813.2799116205633,0.5325563211152206
OR4468212159620070712_OR4472312167920200817,1,Fire_2,13,OR4472312167920200817,2020,Cascades,Pacific Northwest,Mixed,2,11.154767441860464,263.671553616662,552.907940624111,153.98567720549147,81.80214597849992,0.17329594470361925,959.31,2813.2799116205633,0.3409934418674317
ID4637411451920070718_ID4638111450920170710,1,Both,10,NA,NA,Idaho Batholith,Northern Rockies,High,2,5.807538461538462,52.45881347850274,682.4048724295478,228.0325306630639,12.953365103420255,0.03090127182759716,1132.47,4150.314612146905,0.27286365151344216
ID4637411451920070718_ID4638111450920170710,1,Either,10,NA,NA,Idaho Batholith,Northern Rockies,High,2,43.243043478260866,1425.2802995204054,792.0880609349971,91.15313847917233,656.4589979932158,0.45124530909506616,2983.77,4150.314612146905,0.7189262209826868
ID4637411451920070718_ID4638111450920170710,1,Fire_1,10,ID4637411451920070718,2007,Idaho Batholith,Northern Rockies,High,2,24.966428571428573,469.20299201785264,569.3506613173984,125.02503361657084,282.8558597426003,0.2140970222834153,2097.18,4150.314612146905,0.5053062709660835
ID4637411451920070718_ID4638111450920170710,1,Fire_2,10,ID4638111450920170710,2017,Idaho Batholith,Northern Rockies,High,2,18.869719626168223,438.8424391548543,582.9286133648731,139.55008766455677,178.2116115239561,0.20787339771182203,2019.06,4150.314612146905,0.4864836015300454
