Fire_ID,Ig_Day,Order,Reburn_Polygon_ID,Year,erc_max_max,erc_max_mean,erc_mean_max,erc_mean_mean,vpd_max_max,vpd_max_mean,vpd_mean_max,vpd_mean_mean,FRG_max4
ID4612911474719880811,224,First,ID4612911474719880811_ID4610311477420070724_1,1988,76.36986542,75.66397576,67.86143494,67.1311676,2.451227903,1.993063225,1.790186763,1.435067276,Mixed
CA4018412304519880928,272,First,CA4018412304519880928_CA3966012280920200817_1,1988,83.56976318,76.10111114,62.48934174,55.35030783,2.178155899,2.078339239,1.138670325,1.083730107,Low
MT4724011275119880625,177,First,MT4724011275119880625_MT4721611299020070715_1,1988,49.2385788,48.18781911,37.37631607,36.27834462,1.871087551,1.784415873,1.153821588,1.090811866,High
MT4724011275119880625,177,First,MT4724011275119880625_MT4726811348520170724_1,1988,50.53788757,49.07004925,38.49394608,37.0503549,1.948564172,1.736880277,1.249933243,1.088055994,Low
ID4538711500819880625,177,First,ID4538711500819880625_ID4540111516420000731_1,1988,57.34626007,52.89465789,43.17089462,39.15813551,2.035553932,1.844758549,1.366277695,1.242989594,Low
ID4538711500819880625,177,First,ID4538711500819880625_ID4537411488820070616_1,1988,57.34626007,53.49484199,43.17089462,39.37540296,2.263257027,1.956404302,1.596493363,1.350354242,Low
MT4781311293519880711,193,First,MT4781311293519880711_MT4775511289820010929_1,1988,62.56081772,61.69716514,41.86845779,40.20376873,1.901976466,1.834048794,1.233638167,1.185477464,High
MT4781311293519880711,193,First,MT4781311293519880711_MT4780411300920130718_1,1988,63.64184189,62.49450647,42.58975601,41.50429778,1.871402264,1.730196723,1.233638167,1.135897803,High
ID4527011497119880711,193,First,ID4527011497119880711_ID4537411488820070616_1,1988,67.43582153,66.84512397,49.388237,48.71434307,2.100483656,2.052219691,1.322100997,1.293370782,Low
ID4527011497119880711,193,First,ID4527011497119880711_ID4549011522720170729_1,1988,67.81868744,66.65383335,49.37734222,47.82810385,2.062170744,1.941524892,1.297739506,1.209225746,High
WY4408111047019880820,233,First,WY4408111047019880820_WY4402111078620160725_1,1988,79.9957962,76.61600229,71.34324646,67.36992803,1.923504472,1.820712114,1.459923744,1.370354659,High
ID4557911514619880813,226,First,ID4557911514619880813_ID4551811500220000731_1,1988,74.70501709,70.36588711,65.82904053,61.24964698,2.780860186,2.351945694,1.951785803,1.619734338,Low
ID4557911514619880813,226,First,ID4557911514619880813_ID4558311517420140803_1,1988,75.80163574,72.72140715,67.14566803,63.74056769,2.780860186,2.525800013,1.951785803,1.766650121,Low
ID4557911514619880813,226,First,ID4557911514619880813_ID4560811517420150724_1,1988,70.37572479,67.45750274,61.16130829,58.46886158,2.46647954,2.016896534,1.72592783,1.405534982,Low
ID4557911514619880813,226,First,ID4557911514619880813_ID4555111522320030809_1,1988,77.78524017,73.17040571,69.36243439,64.42550563,2.873365641,2.464687339,2.063280821,1.747964986,Low
ID4624611454319880814,227,First,ID4624611454319880814_ID4631911465120120808_1,1988,76.94675446,76.03522446,67.61448669,66.55272382,1.917517185,1.883457263,1.365215302,1.337580307,Mixed
ID4624611454319880814,227,First,ID4624611454319880814_ID4624611454720170813_1,1988,75.3044281,74.68842082,66.0406189,65.27527132,1.892468929,1.821981031,1.339651585,1.28269167,Mixed
WY4470811082119880722,204,First,WY4470811082119880722_WY4474311097820160809_1,1988,77.89092255,73.61108998,68.77173615,65.00163517,2.186595917,2.07466434,1.692163825,1.58446172,High
WY4509511033019880815,228,First,WY4509511033019880815_WY4496811035620160813_1,1988,80.37346649,78.12237783,72.52508545,70.63561007,2.079740286,1.885677323,1.557199121,1.390313343,High
ID4565911500219880824,237,First,ID4565911500219880824_ID4569811508120120809_1,1988,71.58840942,69.87129029,62.23434448,60.67162268,2.077194214,1.743025045,1.478160977,1.238445986,Mixed
ID4519911475819880824,237,First,ID4519911475819880824_ID4523011471220050806_1,1988,83.44156647,81.03074138,78.09875488,75.00012932,2.884114742,2.529128632,2.034003735,1.772314402,Low
ID4519911475819880824,237,First,ID4519911475819880824_ID4513411480420060707_1,1988,86.55817413,81.83395224,80.42700195,74.55736753,2.64715457,2.314636639,1.899826288,1.638090313,Low
ID4519911475819880824,237,First,ID4519911475819880824_ID4529711473720070730_1,1988,84.01152802,81.79488286,78.68950653,75.86833522,2.863823175,2.616749604,2.022862673,1.840742235,Low
ID4519911475819880824,237,First,ID4519911475819880824_ID4520011474120130708_1,1988,86.55817413,81.65140411,80.89637756,75.05288531,2.932229042,2.471501042,2.066690207,1.740468819,Low
ID4538311527919890728,209,First,ID4538311527919890728_ID4540111516420000731_1,1989,54.30175018,50.32487909,41.89113617,38.43974514,1.801345825,1.697345236,1.20829308,1.153772347,High
OR4434811827719890728,209,First,OR4434811827719890728_OR4440811838320160731_1,1989,80.51818085,77.92638819,67.74428558,65.03648425,2.188506365,2.107729529,1.623734713,1.555330774,Low
ID4409211552419890726,207,First,ID4409211552419890726_ID4395011576220160718_1,1989,86.23942566,84.97672922,76.27626801,74.94068314,2.865582705,2.616121722,2.09762907,1.924857763,Low
ID4409211552419890726,207,First,ID4409211552419890726_ID4395011576220160718_2,1989,82.84355927,79.44481461,71.17873383,68.37438988,2.702587843,2.665664429,1.992576122,1.958477585,Low
ID4484911541919890726,207,First,ID4484911541919890726_ID4475011554820070717_1,1989,72.48945618,69.65840496,60.97454071,57.66771007,2.006109476,1.929133786,1.413129568,1.351198366,High
ID4475711573919890726,207,First,ID4475711573919890726_ID4475011554820070717_1,1989,75.54162598,74.00816782,62.91088104,61.73423989,2.420659065,2.268231909,1.664480686,1.529567379,Low
ID4462411561619890726,207,First,ID4462411561619890726_ID4475011554820070717_1,1989,72.5914917,70.24559229,61.38008881,58.47363292,2.441311359,2.055237995,1.630368233,1.362792068,High
ID4518411570919890726,207,First,ID4518411570919890726_ID4510511570820070706_1,1989,63.70887375,60.69033734,50.752677919999996,47.97670746,1.831207752,1.732486688,1.250290632,1.170701872,High
ID4538311615519890726,207,First,ID4538311615519890726_ID4520811624820150812_1,1989,79.41725159,74.3899596,65.97898865,60.70211878,3.031336069,2.694275208,2.165803194,1.883665524,Low
OR4459011778619890726,207,First,OR4459011778619890726_OR4458511775220150810_1,1989,79.1648407,76.87421704,65.88705444,63.0533445,2.580411911,2.272039,1.809123516,1.617163074,Low
