Fire_ID,Ig_Day,Order,Reburn_Polygon_ID,Year,gm_Date,eddi30d,spei30d,FRG_max4
WY4509511033019880815,228,First,WY4509511033019880815_WY4496811035620160813_1,1988,1988-245,2.029046251,-2.089999914,High
ID4565911500219880824,237,First,ID4565911500219880824_ID4569811508120120809_1,1988,1988-255,2.014211447,-1.450000048,Mixed
ID4519911475819880824,237,First,ID4519911475819880824_ID4523011471220050806_1,1988,1988-255,1.450000048,-1.403415295,Low
ID4519911475819880824,237,First,ID4519911475819880824_ID4513411480420060707_1,1988,1988-255,1.607195193,-1.483190843,Low
ID4519911475819880824,237,First,ID4519911475819880824_ID4529711473720070730_1,1988,1988-255,1.428028318,-1.416406807,Low
ID4519911475819880824,237,First,ID4519911475819880824_ID4520011474120130708_1,1988,1988-255,1.542705049,-1.504060751,Low
ID4538311527919890728,209,First,ID4538311527919890728_ID4540111516420000731_1,1989,1989-225,0.405302707,0.140036255,High
OR4434811827719890728,209,First,OR4434811827719890728_OR4440811838320160731_1,1989,1989-225,-0.344530269,0.427271769,Low
ID4409211552419890726,207,First,ID4409211552419890726_ID4395011576220160718_1,1989,1989-225,0.65444114900000006,-0.525692517,Low
ID4409211552419890726,207,First,ID4409211552419890726_ID4395011576220160718_2,1989,1989-225,0.886939665,-0.828580241,Low
ID4484911541919890726,207,First,ID4484911541919890726_ID4475011554820070717_1,1989,1989-225,0.800000012,-0.537980556,High
ID4475711573919890726,207,First,ID4475711573919890726_ID4475011554820070717_1,1989,1989-225,0.944600194,-0.709999979,Low
ID4462411561619890726,207,First,ID4462411561619890726_ID4475011554820070717_1,1989,1989-225,0.770982051,-0.234761241,High
ID4518411570919890726,207,First,ID4518411570919890726_ID4510511570820070706_1,1989,1989-225,0.86079598,-0.671450232,High
ID4538311615519890726,207,First,ID4538311615519890726_ID4520811624820150812_1,1989,1989-225,0.428478825,0.089076419,Low
OR4459011778619890726,207,First,OR4459011778619890726_OR4458511775220150810_1,1989,1989-225,-0.176309875,0.506353163,Low
MT4557410993319901005,278,First,MT4557410993319901005_MT4559210981020060822_1,1990,1990-295,0.119999508,0.380040671,Mixed
ID4552311499419900707,188,First,ID4552311499419900707_ID4551811500220000731_1,1990,1990-205,0.481811274,-0.431161432,Low
CA3979312286719900809,221,First,CA3979312286719900809_CA3966012280920200817_1,1990,1990-240,-0.812147013,0.956647082,Low
ID4610111549719910924,267,First,ID4610111549719910924_ID4610011544620150814_1,1991,1991-285,1.672513865,-1.672513865,Mixed
MT4525511054919910716,197,First,MT4525511054919910716_MT4526911048420070808_1,1991,1991-215,1.284594529,-1.418446073,High
ID4549611561419920820,233,First,ID4549611561419920820_ID4554811559420070713_1,1992,1992-250,-0.446077219,0.038060183,Low
ID4546711572619920818,231,First,ID4546711572619920818_ID4554811559420070713_1,1992,1992-250,-0.423587861,0.093230511,Low
CA4136312315119940919,262,First,CA4136312315119940919_CA4143512316220170626_1,1994,1994-280,0.174631779,-0.195416184,Low
MT4871911410119940812,224,First,MT4871911410119940812_MT4865211410120010816_1,1994,1994-240,0.569417669,-0.731232146,High
